Uuid,Void/Retire,Name,Description,Parent,Tag|Login Location,Tag|Visit Location,Tag|Facility Location,Tag|Queue Location,Tag|Appointment Location,Tag|Admission Location,Tag|Transfer Location,State/Province,_order:1000
b32dc472-2d23-4c43-a238-bf00b203ad9d,,Centre Hospitalier Libikisi,,,,TRUE,TRUE,,,,,Kinshasa,
112a9a8a-30e4-48da-9558-8d1b1cef4a47,,Libikisi Réception,Reception at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
09ddeb92-1577-4db5-b64e-5e5f2c49793f,,Libikisi Triage,Triage at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
9d42d012-e8ad-49ac-a610-ad20885581bc,,Libikisi Salle de consultation,Consultation Room at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
705ce475-647e-422a-9b96-f25faae555ab,,Libikisi Prise en charge VIH,HIV Care at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,TRUE,,,Kinshasa,
3373c811-d8b0-4c7b-8fd9-45bb527c6552,,Libikisi Prise en charge TB,TB Care at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,TRUE,,,Kinshasa,
1e62de81-d3af-4beb-ae12-f2f12f6e5ab1,,Libikisi Laboratoire et service d'imagerie,Labs and imaging at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
2f40d65c-f1ae-4711-bb2e-20ddb8402649,,Libikisi Pharmacie,Pharmacy at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
5a8915dc-ceed-464d-95fa-b26b9b6c2dc6,,Libikisi Obstétrique et Gynécologie,OB GYN at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,TRUE,,,Kinshasa,
7b7bd01c-fc21-4e28-b399-c8618dd790ad,,Libikisi Maternité,Maternity at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,TRUE,TRUE,Kinshasa,
f3f23803-e050-4169-b061-5c15fe13266d,,Libikisi prenatal care (CPS),Prenatal care at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,TRUE,,,Kinshasa,
92fd866f-111f-4c7b-9741-d46677c3d2d6,,Libikisi postnatal care (CPN),Postnatal care at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,TRUE,,,Kinshasa,
5992d34a-98c6-4436-8b98-1036b2ff6a17,,Libikisi Pédiatrie,Pediatrics at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
eb57a821-3b15-4750-8c29-579a45af1ec4,,Libikisi Chirurgie,Surgery at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
10fdf93e-ed07-4eb2-9fa2-ec499467eee3,,Libikisi Neurologie,Neurology at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
ff16de2d-a240-4df5-86f0-443aa73fe506,,Libikisi Urologie,Urology at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
d56430cb-9d84-4042-a0d5-1dd43b66b2ec,,Libikisi Cardiologie,Cardiology at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
e8dc4b3f-7210-44cd-9288-39a6443e4f88,,Libikisi ENT,ENT at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
eaadf758-11f1-4034-b3bb-9c789e446492,,Libikisi Clinique dentaire,Dental Clinic at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
217e38db-b238-4ac3-a650-d68a0d5711f6,,Libikisi Ophtalmologie,Ophthalmology at Centre Hospitalier Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,Kinshasa,
4b7329fc-b6da-46f2-8851-ff5948d59c75,,Libikisi Urgence,Emergency Dept at Libikisi,Centre Hospitalier Libikisi,TRUE,,TRUE,TRUE,,,,,
